Year,Latitude,Longitude
1974,-18.48,-72.68
1949,13.66,38.81
1933,0.8,-36.16
1815,-37.78,-26.44
2005,-29.74,-31.38
1838,-18.48,-72.68
1758,-52.24,-13.14
1880,-26.52,-80.6
1977,-4.02,76.34
1900,-40.99,4.26
1992,-29.74,-114.46
1938,-36.17,-117.35
1939,-36.17,-37.79
1989,-18.48,-72.68
1938,-29.74,-107.08
1908,-13.66,-99.91
1946,-28.13,-77.27
1937,-13.66,-99.91
1895,-26.52,-80.6
1981,-0.8,-103.66
1879,-26.52,-80.6
1928,-34.56,-70.05
1945,-37.78,-126.1
1882,-12.05,-8.22
1980,-23.31,-90.0
1939,29.74,-31.38
1998,-60.27,-29.19
1937,-5.63,-3.23
1907,-26.52,-75.22
1986,-31.35,-73.51
1845,-24.92,-67.39
1754,-55.45,-36.85
1936,-39.38,-33.29
1891,-40.99,74.56
1996,-44.2,80.5
1950,-13.66,-80.09
1841,34.56,-151.78
1904,34.56,-151.78
1936,12.05,77.26
1880,-39.38,-33.29
1987,37.78,-144.41
1869,-21.7,-73.56
1945,-23.31,-88.25
1904,-31.35,-103.66
2006,-21.7,-38.94
2001,-21.7,-78.75
2011,4.02,40.98
1929,-13.66,-99.91
1909,-21.7,-78.75
1879,-37.78,-111.86
1825,-13.66,-80.09
1908,-42.59,-13.09
1912,23.31,46.31
1926,-18.48,-74.37
1955,-12.05,-8.22
1877,-36.17,-59.67
1864,23.31,42.82
1967,-21.7,-73.56
1787,-40.99,-29.82
1911,-18.48,69.3
2001,-42.59,87.27
1788,-40.99,-29.82
1954,-52.24,0.0
1890,-15.27,-32.5
2011,37.78,-144.41
1951,-36.17,-37.79
1857,-18.48,69.3
1988,-55.45,-36.85
1791,-42.59,-13.09
1922,-4.02,74.73
1860,-44.2,-125.22
1821,-39.38,-116.53
1993,12.05,77.26
2000,-44.2,80.5
1974,0.8,-36.16
1972,-52.24,-13.14
2012,-28.13,-77.27
1961,-23.31,-112.72
1843,-60.27,-29.19
1855,-26.52,-80.6
1778,-40.99,-29.82
1814,-26.52,-75.22
1989,-26.52,-80.6
1995,-24.92,-67.39
1923,-31.35,-73.51
1843,20.09,44.36
1863,-16.87,-95.44
1934,-7.23,-4.05
1937,-31.35,-73.51
1969,-18.48,69.3
1836,-40.99,-29.82
1898,-28.13,-77.27
1951,15.27,47.5
1923,-23.31,-112.72
1970,-29.74,-114.46
1859,-42.59,-13.09
1843,-45.81,72.69
1895,-39.38,-116.53
1935,-52.24,0.0
1990,-0.8,-103.66
1988,-37.78,-26.44
1963,-20.09,98.96
1883,-26.52,-80.6
2004,-21.7,-38.94
1869,37.78,-144.41
1993,-18.48,-74.37
1984,-28.13,-77.27
1849,-24.92,-67.39
1923,-44.2,-125.22
1979,-5.63,3.23
1862,-36.17,-59.67
1991,-55.45,-36.85
1996,-44.2,-125.22
1920,-18.48,69.3
1790,-45.81,72.69
1930,-29.74,-107.08
1830,-28.13,-77.27
1820,-49.03,-2.45
1846,-34.56,-136.22
1888,-40.99,-29.82
1846,-34.56,-70.05
1991,-10.45,-107.18
2013,-37.78,-111.86
1998,-40.99,4.26
1940,-42.59,-13.09
1839,-37.78,-111.86
1882,-45.81,72.69
1756,-52.24,0.0
1826,-45.81,72.69
1824,-16.87,-95.44
1990,-12.05,-8.22
1808,-31.35,-30.16
1910,-28.13,-77.27
1929,-26.52,-80.6
1840,-37.78,-126.1
2009,-40.99,4.26
1980,4.02,40.98
1925,-2.41,-45.8
2009,-24.92,-67.39
1904,0.8,-36.16
1850,-15.27,-120.83
1965,-23.31,-88.25
1991,-52.24,0.0
1981,-26.52,-80.6
1928,-28.13,-77.27
1859,13.66,38.81
1770,-32.95,6.7
1947,-32.95,-45.0
1980,15.27,47.5
2006,-23.31,-90.0
1899,-23.31,-90.0
1933,-16.87,-95.44
1990,-39.38,-33.29
1943,-18.48,-72.68
1773,-37.78,-26.44
1869,-23.31,-88.25
1776,-50.63,-31.69
1994,7.23,-39.73
2011,-36.17,-59.67
1925,-42.59,87.27
1900,-39.38,-116.53
1883,-34.56,-70.05
1937,-37.78,-113.9
1901,-40.99,-29.82
1900,-36.17,-37.79
1993,-29.74,-31.38
1933,-39.38,-120.69
1909,20.09,44.36
1968,23.31,42.82
1955,-44.2,-125.22
1860,-5.63,3.23
1969,-4.02,74.73
1877,-37.78,-26.44
1951,-15.27,-120.83
1905,32.95,-18.19
1806,-16.87,-78.7
1958,-45.81,72.69
1855,37.78,-144.41
2002,-37.78,-111.86
1783,-55.45,-36.85
1956,-50.63,-31.69
1880,-37.78,-113.9
1959,-26.52,-80.6
1875,-39.38,-116.53
1885,-34.56,-136.22
1814,-52.24,-13.14
1999,-31.35,-73.51
1834,-26.52,-80.6
1908,-12.05,-77.26
1992,-29.74,-107.08
1930,-2.41,-45.8
1907,-21.7,-38.94
1922,-15.27,-120.83
1791,-31.35,-30.16
1883,-24.92,-122.36
1821,-39.38,-33.29
1835,-32.95,-45.0
1938,-12.05,-8.22
1949,32.95,69.89
1877,-39.38,-116.53
1874,-29.74,-31.38
1924,-23.31,-88.25
1956,-5.63,-3.23
1881,-34.56,-136.22
1829,-44.2,80.5
1942,-60.27,-29.19
1954,-50.63,-31.69
1759,-42.59,87.27
1921,-24.92,-122.36
1950,-49.03,-2.45
2003,-40.99,74.56
1992,0.8,-36.16
1869,-52.24,-13.14
1865,-52.24,0.0
1758,-50.63,-31.69
1909,-36.17,-139.23
1977,7.23,-39.73
1951,-31.35,-118.74
1999,-34.56,118.7
2003,-60.27,-29.19
1843,-18.48,69.3
1851,-36.17,-37.79
1847,-37.78,-113.9
1979,-7.23,-4.05
1913,20.09,44.36
2006,37.78,-144.41
1959,-34.56,-108.97
1987,-26.52,-75.22
1833,-39.38,-116.53
1886,18.48,-30.42
1989,-29.74,-114.46
1997,15.27,47.5
1751,-45.81,72.69
1985,-7.23,-4.05
1834,-42.59,-13.09
1857,-13.66,-99.91
1966,-26.52,-80.6
1942,-18.48,-72.68
1982,-36.17,-117.35
1885,-31.35,-73.51
1885,-15.27,17.5
1944,0.8,-36.16
1876,-24.92,-122.36
1912,-40.99,-29.82
2000,18.48,-30.42
1948,32.95,-18.19
1983,4.02,40.98
1836,-28.13,-77.27
1795,-40.99,-29.82
1916,-18.48,-72.68
1963,-5.63,3.23
1985,5.63,-106.55
1963,23.31,46.31
1869,-23.31,-112.72
1994,-45.81,72.69
1918,-39.38,-120.69
1852,20.09,44.36
1951,-34.56,-108.97
1967,-52.24,-13.14
2009,-50.63,-31.69
1979,-36.17,-59.67
1874,-52.24,0.0
1845,-31.35,-30.16
1923,-18.48,-74.37
1914,-39.38,-116.53
2000,7.23,-39.73
1804,-21.7,-73.56
1920,-34.56,-108.97
1865,-12.05,-77.26
1921,-39.38,-120.69
1769,-52.24,-13.14
1966,-28.13,-77.27
1864,23.31,42.82
1933,-29.74,-31.38
1931,7.23,-39.73
1996,-50.63,-31.69
1786,-39.38,-33.29
1989,-13.66,-99.91
1934,-39.38,-116.53
1996,32.95,-18.19
1827,-37.78,-113.9
1995,-52.24,-13.14
1874,-4.02,74.73
1992,-18.48,69.3
1850,-36.17,-117.35
1869,-10.45,-107.18
1949,-50.63,-31.69
1846,-10.45,-107.18
1952,-40.99,4.26
2007,-39.38,-116.53
1900,-21.7,-38.94
1922,-31.35,-103.66
1917,-23.31,-90.0
2007,-52.24,-13.14
1890,-37.78,-111.86
1837,-21.7,-78.75
1976,-40.99,74.56
1874,-60.27,-29.19
1857,-36.17,-59.67
1997,-37.78,-26.44
1976,-36.17,-117.35
1884,-31.35,-73.51
1820,-18.48,-72.68
1819,-16.87,-78.7
1888,-28.13,-77.27
1903,-52.24,0.0
1938,-44.2,-125.22
1984,-23.31,-88.25
1984,-13.66,-80.09
1782,-55.45,-36.85
1860,-24.92,-122.36
1833,-40.99,4.26
1945,-34.56,-136.22
1928,-12.05,-8.22
1804,-42.59,-13.09
1937,-31.35,-30.16
1882,5.63,-106.55
1989,-13.66,-80.09
1972,-34.56,-136.22
1813,-52.24,-13.14
1929,-31.35,-30.16
1989,-49.03,-2.45
1958,-21.7,-78.75
1982,8.84,-13.78
1863,-0.8,-103.66
1855,-12.05,-77.26
1917,-31.35,-30.16
1999,-34.56,118.7
1918,-29.74,-31.38
1852,-49.03,-2.45
1952,18.48,-30.42
1906,18.48,-30.42
1887,-23.31,-112.72
1966,-39.38,-116.53
1918,-26.52,-75.22
1890,-31.35,-118.74
1948,-31.35,-73.51
1874,-37.78,-26.44
1957,-37.78,-111.86
1860,-10.45,-107.18
1984,-32.95,6.7
1970,-26.52,-80.6
1842,-18.48,69.3
1984,-39.38,-116.53
1978,-4.02,74.73
1898,-39.38,-33.29
1791,-49.03,-2.45
1845,-13.66,-99.91
1908,13.66,38.81
1938,-39.38,-116.53
1851,20.09,44.36
1824,-40.99,74.56
1901,-24.92,-67.39
1897,29.74,-31.38
2003,-31.35,-30.16
1908,-50.63,-31.69
1992,18.48,-30.42
1965,-60.27,-29.19
1928,-5.63,-3.23
2007,-29.74,-107.08
1970,-7.23,-4.05
1987,-32.95,-45.0
1965,-45.81,-125.77
1903,-34.56,118.7
1996,23.31,46.31
1994,-15.27,17.5
2003,-55.45,-36.85
1956,32.95,69.89
1769,-37.78,-26.44
2001,-34.56,-136.22
1891,-31.35,-30.16
1925,-40.99,-123.55
1978,7.23,-112.7
2004,13.66,38.81
1856,-34.56,118.7
1815,-26.52,-75.22
2001,-24.92,-122.36
1882,-31.35,-30.16
1855,-23.31,-90.0
1929,-28.13,-77.27
1908,23.31,42.82
1930,13.66,38.81
2002,15.27,47.5
1939,-52.24,-13.14
1986,18.48,-30.42
1936,-5.63,3.23
1870,-18.48,69.3
1925,-26.52,-80.6
1921,-45.81,72.69
1998,-39.38,-33.29
1910,12.05,77.26
1954,-34.56,118.7
1832,-40.99,-123.55
1928,8.84,-13.78
1872,-26.52,-80.6
1944,-40.99,-29.82
1900,-32.95,-45.0
1872,-13.66,-80.09
1972,-24.92,-46.11
2007,-36.17,-139.23
1923,-37.78,-126.1
1868,13.66,38.81
2003,-23.31,-112.72
1824,-31.35,-30.16
1987,-31.35,-30.16
1791,-42.59,-13.09
1868,-29.74,-114.46
1875,4.02,-15.27
1853,-34.56,-108.97
1974,-15.27,-120.83
1909,-5.63,3.23
1945,-26.52,-75.22
1987,-34.56,-70.05
1904,-23.31,-72.52
1972,-36.17,-59.67
2009,-5.63,3.23
2013,-40.99,-29.82
1951,-24.92,-46.11
2007,-0.8,-103.66
1872,-39.38,-33.29
1883,-42.59,87.27
1982,23.31,46.31
1956,-29.74,-114.46
1794,-44.2,80.5
1883,-4.02,74.73
1892,-12.05,-8.22
1841,20.09,44.36
1992,-23.31,-112.72
1912,-18.48,-72.68
1880,0.8,-36.16
1905,-8.84,-38.11
1989,0.8,-36.16
2013,-13.66,-99.91
1912,-39.38,-120.69
1855,-37.78,-113.9
1944,-50.63,-31.69
1834,-31.35,-73.51
1787,-40.99,-29.82
1866,-42.59,87.27
1995,-31.35,-73.51
1877,-40.99,-123.55
1876,18.48,-30.42
1923,20.09,44.36
1814,-49.03,-2.45
1802,-52.24,-13.14
1876,-49.03,-2.45
1946,0.8,-36.16
1990,-15.27,-32.5
1824,-44.2,80.5
1883,-29.74,-107.08
1907,12.05,77.26
1947,-40.99,-123.55
1976,-32.95,6.7
1992,23.31,42.82
1967,-29.74,-114.46
1834,15.27,47.5
1906,-29.74,-31.38
1992,-23.31,-88.25
1925,-50.63,-31.69
2008,-15.27,-32.5
1980,-26.52,-80.6
1966,37.78,-144.41
2000,32.95,-18.19
1789,-60.27,-29.19
1920,-18.48,69.3
1918,-16.87,-95.44
1909,-28.13,-77.27
1849,-42.59,87.27
1868,-24.92,-46.11
1938,32.95,-18.19
1861,32.95,69.89
1982,-13.66,-80.09
2007,-31.35,-73.51
1851,-21.7,-78.75
1983,-20.09,98.96
1774,-39.38,-33.29
1860,32.95,-18.19
1975,-16.87,-78.7
1760,-52.24,0.0
1878,-44.2,80.5
1955,-23.31,-88.25
1893,-39.38,-116.53
2001,20.09,44.36
1820,-32.95,6.7
1995,-32.95,-45.0
1893,23.31,42.82
1979,23.31,42.82
1904,-31.35,-73.51
1815,-32.95,6.7
1832,-37.78,-26.44
1843,-16.87,-78.7
1958,-23.31,-88.25
2006,-16.87,-78.7
1876,-40.99,4.26
1857,34.56,-151.78
1967,-31.35,-120.63
1967,-36.17,-117.35
1962,-29.74,-107.08
1880,37.78,-144.41
1882,7.23,-112.7
1758,-45.81,72.69
1888,-34.56,-70.05
1898,-23.31,-88.25
1926,-32.95,-45.0
1994,-37.78,-126.1
1915,-5.63,-3.23
1994,-29.74,-107.08
1953,-37.78,-113.9
1959,-26.52,-75.22
2012,-4.02,74.73
1928,-31.35,-73.51
2001,-37.78,-111.86
2012,-24.92,-67.39
1937,-49.03,-2.45
1887,-45.81,72.69
1978,-21.7,-78.75
1980,-26.52,-75.22
1924,-39.38,-33.29
1986,-32.95,6.7
2003,-34.56,-108.97
1977,-4.02,76.34
1935,-36.17,-59.67
1946,-40.99,4.26
1964,32.95,69.89
1982,32.95,69.89
1989,23.31,42.82
1888,-34.56,-136.22
2004,-20.09,98.96
1924,15.27,47.5
1839,-39.38,-116.53
1983,-13.66,-99.91
1984,-45.81,-125.77
2012,-36.17,-59.67
2008,-23.31,-72.52
1950,-40.99,4.26
1976,-44.2,-125.22
1849,-31.35,-103.66
1848,-39.38,-116.53
1974,-26.52,-80.6
1990,-5.63,-3.23
1989,-40.99,4.26
1890,-34.56,118.7
1873,-28.13,-77.27
1974,-5.63,-3.23
1902,-37.78,-111.86
1919,-34.56,-70.05
1857,-52.24,0.0
1745,-40.99,74.56
1872,-23.31,-72.52
1979,-39.38,-116.53
1971,-37.78,-26.44
2008,-34.56,-70.05
1937,-45.81,-125.77
1949,-24.92,-46.11
1958,-31.35,-103.66
1933,-37.78,-113.9
1802,-18.48,-72.68
1986,-12.05,-8.22
1970,-18.48,-72.68
1948,-24.92,-122.36
1911,23.31,46.31
1913,37.78,-144.41
1967,-23.31,-72.52
1885,-32.95,6.7
1839,-16.87,-78.7
1943,4.02,-15.27
1778,-32.95,6.7
1960,-16.87,-78.7
1831,-44.2,-125.22
1984,-39.38,-120.69
1893,-18.48,69.3
1989,12.05,77.26
1803,-37.78,-26.44
1917,-31.35,-73.51
1821,-42.59,87.27
1836,-24.92,-67.39
1935,-32.95,-45.0
1884,-21.7,-73.56
1990,-24.92,-67.39
1929,-52.24,-13.14
1874,-23.31,-88.25
1953,-34.56,-108.97
1774,-55.45,-36.85
2004,-24.92,-46.11
1901,-60.27,-29.19
2002,-45.81,-125.77
1992,5.63,-106.55
1983,-21.7,-73.56
1936,-24.92,-122.36
1863,-36.17,-37.79
2009,-45.81,72.69
1798,-28.13,-77.27
1896,-45.81,72.69
1892,-36.17,-117.35
1829,-40.99,74.56
1933,-12.05,-77.26
1941,-18.48,-72.68
1915,12.05,77.26
1853,-24.92,-67.39
1878,-21.7,-78.75
1927,23.31,46.31
1851,-44.2,80.5
1900,32.95,69.89
1930,-23.31,-72.52
1851,-45.81,72.69
1862,-37.78,-26.44
1955,-29.74,-31.38
1933,-29.74,-107.08
1925,-45.81,-125.77
1839,-37.78,-26.44
1971,-0.8,-103.66
1940,-18.48,69.3
1981,-23.31,-112.72
2004,-29.74,-31.38
1904,23.31,42.82
1876,-31.35,-103.66
1977,-28.13,-77.27
1874,-36.17,-37.79
1919,-7.23,-4.05
1832,-52.24,-13.14
1947,-4.02,74.73
1955,-20.09,98.96
2012,37.78,-144.41
1931,-26.52,-80.6
2004,-37.78,-111.86
1785,-60.27,-29.19
1997,-36.17,-139.23
1908,-23.31,-72.52
1890,-8.84,-38.11
1921,-36.17,-139.23
1856,-29.74,-114.46
1921,-37.78,-111.86
1997,-36.17,-117.35
1950,4.02,40.98
1918,-13.66,-99.91
1772,-50.63,-31.69
1960,-23.31,-88.25
1847,-28.13,-77.27
1841,-26.52,-75.22
1939,-26.52,-80.6
1876,8.84,-13.78
1757,-42.59,-13.09
1757,-49.03,-2.45
2000,7.23,-39.73
1876,32.95,-18.19
1899,-39.38,-116.53
1903,34.56,-151.78
1987,29.74,-31.38
1817,-37.78,-26.44
1878,-40.99,74.56
1840,-18.48,-72.68
1869,-52.24,0.0
1818,-40.99,-29.82
2013,-49.03,-2.45
1887,13.66,38.81
1996,-32.95,6.7
1830,-13.66,-80.09
1935,-23.31,-90.0
1967,-39.38,-116.53
1965,-28.13,-77.27
1774,-45.81,72.69
1832,-39.38,-116.53
1947,-0.8,-103.66
1909,18.48,-30.42
1986,-42.59,87.27
1933,4.02,-15.27
1806,-23.31,-88.25
1888,32.95,69.89
1809,-60.27,-29.19
1856,-37.78,-111.86
1904,7.23,-112.7
1987,-45.81,-125.77
1879,-13.66,-80.09
1997,-44.2,-125.22
1905,-23.31,-112.72
1915,-13.66,-99.91
1921,37.78,-144.41
1863,29.74,-31.38
1899,-50.63,-31.69
1927,-28.13,-77.27
1934,-28.13,-77.27
1836,-42.59,-13.09
1950,-23.31,-112.72
1905,34.56,-151.78
1849,-18.48,69.3
1929,-39.38,-33.29
1800,-60.27,-29.19
1931,34.56,-151.78
1866,20.09,44.36
1967,-23.31,-90.0
1906,-60.27,-29.19
1814,-52.24,0.0
1877,-45.81,-125.77
1873,-23.31,-88.25
1879,-15.27,-120.83
1891,-31.35,-118.74
1997,-29.74,-31.38
1758,-49.03,-2.45
1849,-5.63,-3.23
1782,-40.99,-29.82
1982,13.66,38.81
1937,37.78,-144.41
1926,-26.52,-75.22
1991,-13.66,-80.09
1903,-24.92,-122.36
1842,-21.7,-78.75
1914,37.78,-144.41
1928,-29.74,-107.08
1963,37.78,-144.41
1894,-4.02,74.73
1860,-13.66,-80.09
1915,-44.2,80.5
1960,8.84,-13.78
1914,-31.35,-30.16
1930,12.05,77.26
1908,-45.81,-125.77
1946,4.02,-15.27
1945,-55.45,-36.85
1947,32.95,-18.19
1971,-24.92,-67.39
1887,-36.17,-59.67
1987,-31.35,-103.66
1813,-26.52,-80.6
1828,-45.81,72.69
1995,32.95,-18.19
1823,-32.95,6.7
1996,-4.02,74.73
1966,-40.99,4.26
2003,29.74,-31.38
1933,-26.52,-80.6
1850,-31.35,-73.51
1887,-34.56,-70.05
1965,-21.7,-73.56
1905,23.31,46.31
1875,-34.56,-70.05
1881,-18.48,-74.37
1916,-10.45,-107.18
1942,-37.78,-111.86
1876,-26.52,-80.6
1958,-24.92,-67.39
1869,34.56,-151.78
1839,-13.66,-80.09
1912,-24.92,-46.11
1941,-18.48,-72.68
1953,23.31,46.31
1986,-5.63,3.23
1964,-36.17,-117.35
1886,-21.7,-73.56
1932,4.02,40.98
1990,-12.05,-8.22
1991,-21.7,-38.94
1969,-13.66,-80.09
1938,-29.74,-31.38
1875,-45.81,-125.77
1963,5.63,-106.55
1940,-37.78,-111.86
1931,-52.24,0.0
1904,5.63,-106.55
1862,-36.17,-139.23
1859,-12.05,-8.22
1958,-42.59,87.27
1865,-12.05,-77.26
1999,-18.48,-72.68
1892,-26.52,-80.6
1753,-60.27,-29.19
1903,-31.35,-118.74
1786,-44.2,80.5
1924,-4.02,74.73
1869,-55.45,-36.85
1956,18.48,-30.42
1911,-39.38,-116.53
1763,-40.99,4.26
1959,-5.63,-3.23
1899,-20.09,98.96
1978,-7.23,-4.05
1903,-21.7,-38.94
1875,-36.17,-37.79
1843,23.31,46.31
1883,-13.66,-99.91
1881,12.05,77.26
1972,-32.95,-45.0
1972,-34.56,-108.97
1855,-32.95,6.7
1951,-26.52,-75.22
1948,7.23,-39.73
1973,-23.31,-72.52
1888,-34.56,-136.22
1845,-52.24,-13.14
1867,-23.31,-72.52
1957,-13.66,-80.09
1959,7.23,-39.73
1902,-20.09,98.96
1857,-39.38,-120.69
1938,-39.38,-116.53
1938,-40.99,-29.82
1927,23.31,46.31
1912,-24.92,-122.36
1852,7.23,-112.7
1933,-31.35,-120.63
1947,32.95,69.89
2011,-36.17,-139.23
1963,-18.48,-74.37
1908,-31.35,-103.66
1884,-18.48,69.3
1992,-12.05,-8.22
1960,-29.74,-31.38
1872,-37.78,-26.44
1926,34.56,-151.78
1947,-60.27,-29.19
1988,-13.66,-80.09
1876,-40.99,74.56
1797,-23.31,-72.52
1861,-36.17,-117.35
1951,29.74,-31.38
1786,-52.24,-13.14
1947,-37.78,-111.86
1891,7.23,-39.73
1933,-28.13,-77.27
1966,29.74,-31.38
1785,-39.38,-33.29
1970,-24.92,-67.39
1870,-23.31,-90.0
1950,-24.92,-46.11
1906,-21.7,-78.75
1947,37.78,-144.41
1864,-32.95,-45.0
1806,-39.38,-33.29
1905,37.78,-144.41
1948,-29.74,-114.46
1955,-39.38,-116.53
1960,-16.87,-78.7
1860,23.31,42.82
2003,32.95,69.89
1927,-45.81,72.69
1907,-12.05,-77.26
1994,-39.38,-120.69
1832,-52.24,0.0
1804,-16.87,-95.44
2010,0.8,-36.16
1926,-39.38,-120.69
1886,-5.63,3.23
1987,-31.35,-120.63
1865,-36.17,-117.35
1893,-55.45,-36.85
1923,-12.05,-8.22
1885,-24.92,-46.11
1882,-4.02,74.73
1962,-49.03,-2.45
1884,-40.99,-29.82
1875,-21.7,-78.75
1874,-29.74,-107.08
2008,-18.48,-72.68
1796,-24.92,-67.39
1957,-26.52,-80.6
1898,-32.95,-45.0
1956,-23.31,-88.25
1843,-21.7,-38.94
1996,-18.48,-74.37
1868,5.63,-106.55
1998,-40.99,4.26
1802,-26.52,-75.22
1971,-15.27,-120.83
1876,-23.31,-88.25
1873,-31.35,-73.51
1927,-36.17,-59.67
1900,-12.05,-8.22
1825,-29.74,-31.38
1913,37.78,-144.41
1899,-52.24,-13.14
1897,8.84,-13.78
1975,-20.09,98.96
1906,-23.31,-112.72
1957,-60.27,-29.19
1987,18.48,-30.42
1956,7.23,-112.7
1959,12.05,77.26
1889,-44.2,-125.22
1879,-23.31,-90.0
1899,-44.2,80.5
1859,-39.38,-116.53
1975,-29.74,-107.08
1995,-4.02,76.34
1769,-45.81,72.69
1906,18.48,-30.42
1977,-36.17,-117.35
1994,-4.02,74.73
1993,-50.63,-31.69
1808,-60.27,-29.19
1919,-36.17,-37.79
1905,15.27,47.5
1991,0.8,-36.16
2004,-24.92,-46.11
1946,-44.2,80.5
1916,-13.66,-99.91
1977,-40.99,74.56
1914,-55.45,-36.85
1812,-32.95,6.7
1856,32.95,69.89
1941,-24.92,-67.39
1934,4.02,-15.27
1990,0.8,-36.16
1911,-32.95,-45.0
1819,-13.66,-99.91
1818,-26.52,-80.6
1869,-29.74,-31.38
1910,-24.92,-67.39
1878,-60.27,-29.19
1846,-20.09,98.96
1979,-28.13,-77.27
